genome_id,source
GCF_015830215.1,ncbi
GCF_015830155.1,ncbi
GCF_002202355.1,ncbi
GCF_002202765.1,ncbi
GCF_002202585.1,ncbi
GCF_002202905.1,ncbi
GCF_015830335.1,ncbi
GCF_015831105.1,ncbi
GCF_002202445.1,ncbi
GCF_023652215.1,ncbi
GCF_015830145.1,ncbi
GCF_015831085.1,ncbi
GCF_023651785.1,ncbi
GCF_023652075.1,ncbi
GCF_001188005.1,ncbi
GCF_002202895.1,ncbi
GCF_023652685.1,ncbi
GCF_023652535.1,ncbi
GCF_002203395.1,ncbi
GCF_015831155.1,ncbi
GCF_023652675.1,ncbi
GCF_015830695.1,ncbi
GCF_015831185.1,ncbi
GCF_015831195.1,ncbi
GCF_015831145.1,ncbi
GCF_015831245.1,ncbi
GCF_015830165.1,ncbi
GCF_015830735.1,ncbi
GCF_002203315.1,ncbi
GCF_015830645.1,ncbi
GCF_015830105.1,ncbi
